"id","n","label","parent"
"total  -  Adventure  -  Brazil",183,"Brazil","total  -  Adventure"
"total  -  Animation  -  Brazil",69,"Brazil","total  -  Animation"
"total  -  Comedy  -  Brazil",218,"Brazil","total  -  Comedy"
"total  -  Crime  -  Brazil",118,"Brazil","total  -  Crime"
"total  -  Drama  -  Brazil",322,"Brazil","total  -  Drama"
"total  -  Family  -  Brazil",101,"Brazil","total  -  Family"
"total  -  Mystery  -  Brazil",54,"Brazil","total  -  Mystery"
"total  -  Romance  -  Brazil",122,"Brazil","total  -  Romance"
"total  -  Thriller  -  Brazil",69,"Brazil","total  -  Thriller"
"total  -  Action  -  Bulgaria",228,"Bulgaria","total  -  Action"
"total  -  Adventure  -  Bulgaria",132,"Bulgaria","total  -  Adventure"
"total  -  Animation  -  Bulgaria",52,"Bulgaria","total  -  Animation"
"total  -  Comedy  -  Bulgaria",182,"Bulgaria","total  -  Comedy"
"total  -  Crime  -  Bulgaria",131,"Bulgaria","total  -  Crime"
"total  -  Drama  -  Bulgaria",309,"Bulgaria","total  -  Drama"
"total  -  Fantasy  -  Bulgaria",39,"Bulgaria","total  -  Fantasy"
"total  -  Mystery  -  Bulgaria",48,"Bulgaria","total  -  Mystery"
"total  -  Romance  -  Bulgaria",101,"Bulgaria","total  -  Romance"
"total  -  Sci Fi  -  Bulgaria",39,"Bulgaria","total  -  Sci Fi"
"total  -  Thriller  -  Bulgaria",59,"Bulgaria","total  -  Thriller"
"total  -  Action  -  Canada",178,"Canada","total  -  Action"
"total  -  Adventure  -  Canada",109,"Canada","total  -  Adventure"
"total  -  Animation  -  Canada",52,"Canada","total  -  Animation"
"total  -  Comedy  -  Canada",178,"Canada","total  -  Comedy"
"total  -  Crime  -  Canada",146,"Canada","total  -  Crime"
"total  -  Drama  -  Canada",267,"Canada","total  -  Drama"
"total  -  Mystery  -  Canada",73,"Canada","total  -  Mystery"
"total  -  Romance  -  Canada",85,"Canada","total  -  Romance"
"total  -  Sci Fi  -  Canada",39,"Canada","total  -  Sci Fi"
"total  -  Thriller  -  Canada",84,"Canada","total  -  Thriller"
"total  -  Action  -  Chile",139,"Chile","total  -  Action"
"total  -  Adventure  -  Chile",119,"Chile","total  -  Adventure"
"total  -  Animation  -  Chile",70,"Chile","total  -  Animation"
"total  -  Comedy  -  Chile",194,"Chile","total  -  Comedy"
"total  -  Crime  -  Chile",106,"Chile","total  -  Crime"
"total  -  Drama  -  Chile",336,"Chile","total  -  Drama"
"total  -  Music  -  Chile",35,"Chile","total  -  Music"
"total  -  Mystery  -  Chile",49,"Chile","total  -  Mystery"
"total  -  Romance  -  Chile",129,"Chile","total  -  Romance"
"total  -  Thriller  -  Chile",61,"Chile","total  -  Thriller"
"total  -  Action  -  Colombia",150,"Colombia","total  -  Action"
"total  -  Adventure  -  Colombia",106,"Colombia","total  -  Adventure"
"total  -  Animation  -  Colombia",57,"Colombia","total  -  Animation"
"total  -  Comedy  -  Colombia",184,"Colombia","total  -  Comedy"
"total  -  Crime  -  Colombia",116,"Colombia","total  -  Crime"
"total  -  Documentary  -  Colombia",35,"Colombia","total  -  Documentary"
"total  -  Drama  -  Colombia",291,"Colombia","total  -  Drama"
"total  -  Mystery  -  Colombia",49,"Colombia","total  -  Mystery"
"total  -  Romance  -  Colombia",118,"Colombia","total  -  Romance"
"total  -  Thriller  -  Colombia",74,"Colombia","total  -  Thriller"
"total  -  Action  -  Costa Rica",127,"Costa Rica","total  -  Action"
"total  -  Adventure  -  Costa Rica",95,"Costa Rica","total  -  Adventure"
"total  -  Animation  -  Costa Rica",57,"Costa Rica","total  -  Animation"
"total  -  Comedy  -  Costa Rica",197,"Costa Rica","total  -  Comedy"
"total  -  Crime  -  Costa Rica",100,"Costa Rica","total  -  Crime"
"total  -  Drama  -  Costa Rica",326,"Costa Rica","total  -  Drama"
"total  -  Music  -  Costa Rica",32,"Costa Rica","total  -  Music"
"total  -  Mystery  -  Costa Rica",47,"Costa Rica","total  -  Mystery"
"total  -  Romance  -  Costa Rica",138,"Costa Rica","total  -  Romance"
"total  -  Thriller  -  Costa Rica",70,"Costa Rica","total  -  Thriller"
"total  -  Action  -  Croatia",187,"Croatia","total  -  Action"
"total  -  Adventure  -  Croatia",114,"Croatia","total  -  Adventure"
"total  -  Animation  -  Croatia",50,"Croatia","total  -  Animation"
"total  -  Comedy  -  Croatia",202,"Croatia","total  -  Comedy"
"total  -  Crime  -  Croatia",147,"Croatia","total  -  Crime"
"total  -  Documentary  -  Croatia",28,"Croatia","total  -  Documentary"
"total  -  Drama  -  Croatia",307,"Croatia","total  -  Drama"
"total  -  Fantasy  -  Croatia",28,"Croatia","total  -  Fantasy"
"total  -  Mystery  -  Croatia",51,"Croatia","total  -  Mystery"
"total  -  Romance  -  Croatia",100,"Croatia","total  -  Romance"
"total  -  Thriller  -  Croatia",64,"Croatia","total  -  Thriller"
"total  -  Action  -  Cyprus",215,"Cyprus","total  -  Action"
"total  -  Adventure  -  Cyprus",134,"Cyprus","total  -  Adventure"
"total  -  Animation  -  Cyprus",46,"Cyprus","total  -  Animation"
"total  -  Comedy  -  Cyprus",186,"Cyprus","total  -  Comedy"
"total  -  Crime  -  Cyprus",140,"Cyprus","total  -  Crime"
"total  -  Drama  -  Cyprus",339,"Cyprus","total  -  Drama"
"total  -  Mystery  -  Cyprus",52,"Cyprus","total  -  Mystery"
"total  -  Romance  -  Cyprus",92,"Cyprus","total  -  Romance"
"total  -  Sci Fi  -  Cyprus",48,"Cyprus","total  -  Sci Fi"
"total  -  Thriller  -  Cyprus",57,"Cyprus","total  -  Thriller"
"total  -  Action  -  Czech Republic",207,"Czech Republic","total  -  Action"
"total  -  Adventure  -  Czech Republic",151,"Czech Republic","total  -  Adventure"
"total  -  Animation  -  Czech Republic",82,"Czech Republic","total  -  Animation"
"total  -  Comedy  -  Czech Republic",185,"Czech Republic","total  -  Comedy"
"total  -  Crime  -  Czech Republic",140,"Czech Republic","total  -  Crime"
"total  -  Drama  -  Czech Republic",294,"Czech Republic","total  -  Drama"
"total  -  Fantasy  -  Czech Republic",49,"Czech Republic","total  -  Fantasy"
"total  -  Mystery  -  Czech Republic",55,"Czech Republic","total  -  Mystery"
"total  -  Romance  -  Czech Republic",82,"Czech Republic","total  -  Romance"
"total  -  Thriller  -  Czech Republic",54,"Czech Republic","total  -  Thriller"
"total  -  Action  -  Denmark",200,"Denmark","total  -  Action"
"total  -  Adventure  -  Denmark",125,"Denmark","total  -  Adventure"
"total  -  Animation  -  Denmark",57,"Denmark","total  -  Animation"
"total  -  Comedy  -  Denmark",182,"Denmark","total  -  Comedy"
"total  -  Crime  -  Denmark",157,"Denmark","total  -  Crime"
"total  -  Drama  -  Denmark",318,"Denmark","total  -  Drama"
"total  -  Fantasy  -  Denmark",42,"Denmark","total  -  Fantasy"
"total  -  Mystery  -  Denmark",56,"Denmark","total  -  Mystery"
"total  -  Romance  -  Denmark",88,"Denmark","total  -  Romance"
"total  -  Thriller  -  Denmark",61,"Denmark","total  -  Thriller"
"total  -  Action  -  Dominican Republic",178,"Dominican Republic","total  -  Action"
"total  -  Adventure  -  Dominican Republic",110,"Dominican Republic","total  -  Adventure"
"total  -  Animation  -  Dominican Republic",50,"Dominican Republic","total  -  Animation"
"total  -  Comedy  -  Dominican Republic",152,"Dominican Republic","total  -  Comedy"
"total  -  Crime  -  Dominican Republic",116,"Dominican Republic","total  -  Crime"
"total  -  Drama  -  Dominican Republic",281,"Dominican Republic","total  -  Drama"
"total  -  Fantasy  -  Dominican Republic",36,"Dominican Republic","total  -  Fantasy"
"total  -  Mystery  -  Dominican Republic",49,"Dominican Republic","total  -  Mystery"
"total  -  Romance  -  Dominican Republic",85,"Dominican Republic","total  -  Romance"
"total  -  Thriller  -  Dominican Republic",76,"Dominican Republic","total  -  Thriller"
