"id","n","label","parent"
"total  -  Animation  -  Japan",97,"Japan","total  -  Animation"
"total  -  Comedy  -  Japan",157,"Japan","total  -  Comedy"
"total  -  Crime  -  Japan",103,"Japan","total  -  Crime"
"total  -  Drama  -  Japan",273,"Japan","total  -  Drama"
"total  -  Horror  -  Japan",34,"Japan","total  -  Horror"
"total  -  Mystery  -  Japan",43,"Japan","total  -  Mystery"
"total  -  Romance  -  Japan",167,"Japan","total  -  Romance"
"total  -  Thriller  -  Japan",63,"Japan","total  -  Thriller"
"total  -  Action  -  Jordan",217,"Jordan","total  -  Action"
"total  -  Adventure  -  Jordan",97,"Jordan","total  -  Adventure"
"total  -  Animation  -  Jordan",31,"Jordan","total  -  Animation"
"total  -  Comedy  -  Jordan",229,"Jordan","total  -  Comedy"
"total  -  Crime  -  Jordan",136,"Jordan","total  -  Crime"
"total  -  Drama  -  Jordan",303,"Jordan","total  -  Drama"
"total  -  Fantasy  -  Jordan",33,"Jordan","total  -  Fantasy"
"total  -  Mystery  -  Jordan",45,"Jordan","total  -  Mystery"
"total  -  Romance  -  Jordan",161,"Jordan","total  -  Romance"
"total  -  Thriller  -  Jordan",69,"Jordan","total  -  Thriller"
"total  -  Action  -  Kenya",220,"Kenya","total  -  Action"
"total  -  Adventure  -  Kenya",91,"Kenya","total  -  Adventure"
"total  -  Comedy  -  Kenya",186,"Kenya","total  -  Comedy"
"total  -  Crime  -  Kenya",146,"Kenya","total  -  Crime"
"total  -  Drama  -  Kenya",327,"Kenya","total  -  Drama"
"total  -  Fantasy  -  Kenya",29,"Kenya","total  -  Fantasy"
"total  -  Mystery  -  Kenya",59,"Kenya","total  -  Mystery"
"total  -  Romance  -  Kenya",98,"Kenya","total  -  Romance"
"total  -  Sci Fi  -  Kenya",35,"Kenya","total  -  Sci Fi"
"total  -  Thriller  -  Kenya",74,"Kenya","total  -  Thriller"
"total  -  Action  -  Kuwait",233,"Kuwait","total  -  Action"
"total  -  Adventure  -  Kuwait",133,"Kuwait","total  -  Adventure"
"total  -  Animation  -  Kuwait",55,"Kuwait","total  -  Animation"
"total  -  Comedy  -  Kuwait",158,"Kuwait","total  -  Comedy"
"total  -  Crime  -  Kuwait",138,"Kuwait","total  -  Crime"
"total  -  Drama  -  Kuwait",331,"Kuwait","total  -  Drama"
"total  -  Fantasy  -  Kuwait",42,"Kuwait","total  -  Fantasy"
"total  -  Mystery  -  Kuwait",56,"Kuwait","total  -  Mystery"
"total  -  Romance  -  Kuwait",76,"Kuwait","total  -  Romance"
"total  -  Thriller  -  Kuwait",86,"Kuwait","total  -  Thriller"
"total  -  Action  -  Latvia",171,"Latvia","total  -  Action"
"total  -  Adventure  -  Latvia",138,"Latvia","total  -  Adventure"
"total  -  Animation  -  Latvia",81,"Latvia","total  -  Animation"
"total  -  Comedy  -  Latvia",247,"Latvia","total  -  Comedy"
"total  -  Crime  -  Latvia",113,"Latvia","total  -  Crime"
"total  -  Drama  -  Latvia",270,"Latvia","total  -  Drama"
"total  -  Mystery  -  Latvia",64,"Latvia","total  -  Mystery"
"total  -  Romance  -  Latvia",91,"Latvia","total  -  Romance"
"total  -  Sci Fi  -  Latvia",42,"Latvia","total  -  Sci Fi"
"total  -  Thriller  -  Latvia",54,"Latvia","total  -  Thriller"
"total  -  Action  -  Lebanon",217,"Lebanon","total  -  Action"
"total  -  Adventure  -  Lebanon",104,"Lebanon","total  -  Adventure"
"total  -  Animation  -  Lebanon",25,"Lebanon","total  -  Animation"
"total  -  Comedy  -  Lebanon",177,"Lebanon","total  -  Comedy"
"total  -  Crime  -  Lebanon",155,"Lebanon","total  -  Crime"
"total  -  Drama  -  Lebanon",379,"Lebanon","total  -  Drama"
"total  -  Fantasy  -  Lebanon",47,"Lebanon","total  -  Fantasy"
"total  -  Mystery  -  Lebanon",40,"Lebanon","total  -  Mystery"
"total  -  Romance  -  Lebanon",116,"Lebanon","total  -  Romance"
"total  -  Sci Fi  -  Lebanon",25,"Lebanon","total  -  Sci Fi"
"total  -  Thriller  -  Lebanon",76,"Lebanon","total  -  Thriller"
"total  -  Action  -  Lithuania",148,"Lithuania","total  -  Action"
"total  -  Adventure  -  Lithuania",93,"Lithuania","total  -  Adventure"
"total  -  Animation  -  Lithuania",48,"Lithuania","total  -  Animation"
"total  -  Comedy  -  Lithuania",221,"Lithuania","total  -  Comedy"
"total  -  Crime  -  Lithuania",118,"Lithuania","total  -  Crime"
"total  -  Drama  -  Lithuania",266,"Lithuania","total  -  Drama"
"total  -  Fantasy  -  Lithuania",33,"Lithuania","total  -  Fantasy"
"total  -  Mystery  -  Lithuania",51,"Lithuania","total  -  Mystery"
"total  -  Romance  -  Lithuania",103,"Lithuania","total  -  Romance"
"total  -  Thriller  -  Lithuania",59,"Lithuania","total  -  Thriller"
"total  -  Action  -  Luxembourg",190,"Luxembourg","total  -  Action"
"total  -  Adventure  -  Luxembourg",125,"Luxembourg","total  -  Adventure"
"total  -  Animation  -  Luxembourg",50,"Luxembourg","total  -  Animation"
"total  -  Comedy  -  Luxembourg",176,"Luxembourg","total  -  Comedy"
"total  -  Crime  -  Luxembourg",149,"Luxembourg","total  -  Crime"
"total  -  Drama  -  Luxembourg",346,"Luxembourg","total  -  Drama"
"total  -  Fantasy  -  Luxembourg",49,"Luxembourg","total  -  Fantasy"
"total  -  Mystery  -  Luxembourg",52,"Luxembourg","total  -  Mystery"
"total  -  Romance  -  Luxembourg",101,"Luxembourg","total  -  Romance"
"total  -  Thriller  -  Luxembourg",57,"Luxembourg","total  -  Thriller"
"total  -  Action  -  Malaysia",257,"Malaysia","total  -  Action"
"total  -  Adventure  -  Malaysia",114,"Malaysia","total  -  Adventure"
"total  -  Animation  -  Malaysia",41,"Malaysia","total  -  Animation"
"total  -  Comedy  -  Malaysia",187,"Malaysia","total  -  Comedy"
"total  -  Crime  -  Malaysia",156,"Malaysia","total  -  Crime"
"total  -  Drama  -  Malaysia",315,"Malaysia","total  -  Drama"
"total  -  Fantasy  -  Malaysia",37,"Malaysia","total  -  Fantasy"
"total  -  Horror  -  Malaysia",37,"Malaysia","total  -  Horror"
"total  -  Mystery  -  Malaysia",78,"Malaysia","total  -  Mystery"
"total  -  Romance  -  Malaysia",99,"Malaysia","total  -  Romance"
"total  -  Thriller  -  Malaysia",78,"Malaysia","total  -  Thriller"
"total  -  Action  -  Maldives",210,"Maldives","total  -  Action"
"total  -  Adventure  -  Maldives",104,"Maldives","total  -  Adventure"
"total  -  Animation  -  Maldives",41,"Maldives","total  -  Animation"
"total  -  Comedy  -  Maldives",179,"Maldives","total  -  Comedy"
"total  -  Crime  -  Maldives",172,"Maldives","total  -  Crime"
"total  -  Drama  -  Maldives",330,"Maldives","total  -  Drama"
"total  -  Mystery  -  Maldives",83,"Maldives","total  -  Mystery"
"total  -  Romance  -  Maldives",101,"Maldives","total  -  Romance"
"total  -  Sci Fi  -  Maldives",33,"Maldives","total  -  Sci Fi"
"total  -  Thriller  -  Maldives",73,"Maldives","total  -  Thriller"
"total  -  Action  -  Malta",192,"Malta","total  -  Action"
"total  -  Adventure  -  Malta",93,"Malta","total  -  Adventure"
"total  -  Comedy  -  Malta",163,"Malta","total  -  Comedy"
"total  -  Crime  -  Malta",167,"Malta","total  -  Crime"
"total  -  Drama  -  Malta",341,"Malta","total  -  Drama"
"total  -  Fantasy  -  Malta",31,"Malta","total  -  Fantasy"
"total  -  Mystery  -  Malta",63,"Malta","total  -  Mystery"
"total  -  Romance  -  Malta",102,"Malta","total  -  Romance"
"total  -  Sci Fi  -  Malta",37,"Malta","total  -  Sci Fi"
"total  -  Thriller  -  Malta",66,"Malta","total  -  Thriller"
"total  -  Action  -  Martinique",227,"Martinique","total  -  Action"
"total  -  Adventure  -  Martinique",106,"Martinique","total  -  Adventure"
"total  -  Animation  -  Martinique",46,"Martinique","total  -  Animation"
"total  -  Comedy  -  Martinique",164,"Martinique","total  -  Comedy"
"total  -  Crime  -  Martinique",146,"Martinique","total  -  Crime"
"total  -  Drama  -  Martinique",351,"Martinique","total  -  Drama"
"total  -  Fantasy  -  Martinique",42,"Martinique","total  -  Fantasy"
"total  -  Mystery  -  Martinique",43,"Martinique","total  -  Mystery"
"total  -  Romance  -  Martinique",87,"Martinique","total  -  Romance"
"total  -  Thriller  -  Martinique",72,"Martinique","total  -  Thriller"
"total  -  Action  -  Mauritius",220,"Mauritius","total  -  Action"
"total  -  Adventure  -  Mauritius",102,"Mauritius","total  -  Adventure"
"total  -  Comedy  -  Mauritius",195,"Mauritius","total  -  Comedy"
"total  -  Crime  -  Mauritius",155,"Mauritius","total  -  Crime"
"total  -  Drama  -  Mauritius",328,"Mauritius","total  -  Drama"
"total  -  Fantasy  -  Mauritius",43,"Mauritius","total  -  Fantasy"
"total  -  Mystery  -  Mauritius",68,"Mauritius","total  -  Mystery"
"total  -  Romance  -  Mauritius",99,"Mauritius","total  -  Romance"
"total  -  Sci Fi  -  Mauritius",37,"Mauritius","total  -  Sci Fi"
"total  -  Thriller  -  Mauritius",71,"Mauritius","total  -  Thriller"
"total  -  Action  -  Mexico",130,"Mexico","total  -  Action"
"total  -  Adventure  -  Mexico",128,"Mexico","total  -  Adventure"
"total  -  Animation  -  Mexico",84,"Mexico","total  -  Animation"
"total  -  Comedy  -  Mexico",212,"Mexico","total  -  Comedy"
"total  -  Crime  -  Mexico",105,"Mexico","total  -  Crime"
"total  -  Drama  -  Mexico",333,"Mexico","total  -  Drama"
"total  -  Fantasy  -  Mexico",34,"Mexico","total  -  Fantasy"
"total  -  Mystery  -  Mexico",51,"Mexico","total  -  Mystery"
"total  -  Romance  -  Mexico",112,"Mexico","total  -  Romance"
"total  -  Thriller  -  Mexico",62,"Mexico","total  -  Thriller"
"total  -  Action  -  Morocco",270,"Morocco","total  -  Action"
"total  -  Adventure  -  Morocco",100,"Morocco","total  -  Adventure"
"total  -  Animation  -  Morocco",34,"Morocco","total  -  Animation"
"total  -  Comedy  -  Morocco",167,"Morocco","total  -  Comedy"
"total  -  Crime  -  Morocco",201,"Morocco","total  -  Crime"
"total  -  Drama  -  Morocco",373,"Morocco","total  -  Drama"
"total  -  Fantasy  -  Morocco",31,"Morocco","total  -  Fantasy"
"total  -  Mystery  -  Morocco",61,"Morocco","total  -  Mystery"
"total  -  Romance  -  Morocco",78,"Morocco","total  -  Romance"
"total  -  Thriller  -  Morocco",85,"Morocco","total  -  Thriller"
"total  -  Action  -  Netherlands",177,"Netherlands","total  -  Action"
"total  -  Adventure  -  Netherlands",127,"Netherlands","total  -  Adventure"
"total  -  Animation  -  Netherlands",51,"Netherlands","total  -  Animation"
"total  -  Comedy  -  Netherlands",160,"Netherlands","total  -  Comedy"
"total  -  Crime  -  Netherlands",153,"Netherlands","total  -  Crime"
"total  -  Drama  -  Netherlands",335,"Netherlands","total  -  Drama"
"total  -  Fantasy  -  Netherlands",41,"Netherlands","total  -  Fantasy"
"total  -  Mystery  -  Netherlands",58,"Netherlands","total  -  Mystery"
"total  -  Romance  -  Netherlands",95,"Netherlands","total  -  Romance"
"total  -  Thriller  -  Netherlands",60,"Netherlands","total  -  Thriller"
"total  -  Action  -  New Caledonia",274,"New Caledonia","total  -  Action"
"total  -  Adventure  -  New Caledonia",136,"New Caledonia","total  -  Adventure"
"total  -  Animation  -  New Caledonia",64,"New Caledonia","total  -  Animation"
"total  -  Comedy  -  New Caledonia",139,"New Caledonia","total  -  Comedy"
"total  -  Crime  -  New Caledonia",144,"New Caledonia","total  -  Crime"
"total  -  Drama  -  New Caledonia",341,"New Caledonia","total  -  Drama"
"total  -  Fantasy  -  New Caledonia",54,"New Caledonia","total  -  Fantasy"
"total  -  Mystery  -  New Caledonia",38,"New Caledonia","total  -  Mystery"
"total  -  Romance  -  New Caledonia",63,"New Caledonia","total  -  Romance"
"total  -  Thriller  -  New Caledonia",68,"New Caledonia","total  -  Thriller"
"total  -  Action  -  New Zealand",201,"New Zealand","total  -  Action"
"total  -  Adventure  -  New Zealand",120,"New Zealand","total  -  Adventure"
"total  -  Animation  -  New Zealand",73,"New Zealand","total  -  Animation"
"total  -  Comedy  -  New Zealand",173,"New Zealand","total  -  Comedy"
"total  -  Crime  -  New Zealand",140,"New Zealand","total  -  Crime"
"total  -  Documentary  -  New Zealand",33,"New Zealand","total  -  Documentary"
"total  -  Drama  -  New Zealand",294,"New Zealand","total  -  Drama"
"total  -  Mystery  -  New Zealand",58,"New Zealand","total  -  Mystery"
"total  -  Romance  -  New Zealand",70,"New Zealand","total  -  Romance"
"total  -  Thriller  -  New Zealand",71,"New Zealand","total  -  Thriller"
"total  -  Action  -  Nicaragua",139,"Nicaragua","total  -  Action"
"total  -  Adventure  -  Nicaragua",80,"Nicaragua","total  -  Adventure"
"total  -  Animation  -  Nicaragua",40,"Nicaragua","total  -  Animation"
"total  -  Comedy  -  Nicaragua",184,"Nicaragua","total  -  Comedy"
"total  -  Crime  -  Nicaragua",102,"Nicaragua","total  -  Crime"
"total  -  Drama  -  Nicaragua",314,"Nicaragua","total  -  Drama"
"total  -  Music  -  Nicaragua",30,"Nicaragua","total  -  Music"
"total  -  Mystery  -  Nicaragua",48,"Nicaragua","total  -  Mystery"
"total  -  Romance  -  Nicaragua",124,"Nicaragua","total  -  Romance"
"total  -  Thriller  -  Nicaragua",70,"Nicaragua","total  -  Thriller"
"total  -  Action  -  Nigeria",208,"Nigeria","total  -  Action"
"total  -  Adventure  -  Nigeria",70,"Nigeria","total  -  Adventure"
"total  -  Comedy  -  Nigeria",135,"Nigeria","total  -  Comedy"
"total  -  Crime  -  Nigeria",158,"Nigeria","total  -  Crime"
"total  -  Drama  -  Nigeria",348,"Nigeria","total  -  Drama"
"total  -  Fantasy  -  Nigeria",33,"Nigeria","total  -  Fantasy"
"total  -  Mystery  -  Nigeria",71,"Nigeria","total  -  Mystery"
"total  -  Romance  -  Nigeria",120,"Nigeria","total  -  Romance"
"total  -  Sci Fi  -  Nigeria",43,"Nigeria","total  -  Sci Fi"
"total  -  Thriller  -  Nigeria",63,"Nigeria","total  -  Thriller"
"total  -  Action  -  Norway",191,"Norway","total  -  Action"
"total  -  Adventure  -  Norway",120,"Norway","total  -  Adventure"
"total  -  Animation  -  Norway",50,"Norway","total  -  Animation"
"total  -  Comedy  -  Norway",175,"Norway","total  -  Comedy"
"total  -  Crime  -  Norway",154,"Norway","total  -  Crime"
"total  -  Drama  -  Norway",347,"Norway","total  -  Drama"
"total  -  Fantasy  -  Norway",40,"Norway","total  -  Fantasy"
"total  -  Mystery  -  Norway",51,"Norway","total  -  Mystery"
"total  -  Romance  -  Norway",97,"Norway","total  -  Romance"
"total  -  Thriller  -  Norway",61,"Norway","total  -  Thriller"
"total  -  Action  -  Oman",208,"Oman","total  -  Action"
"total  -  Adventure  -  Oman",104,"Oman","total  -  Adventure"
"total  -  Comedy  -  Oman",118,"Oman","total  -  Comedy"
"total  -  Crime  -  Oman",131,"Oman","total  -  Crime"
"total  -  Drama  -  Oman",299,"Oman","total  -  Drama"
"total  -  Fantasy  -  Oman",36,"Oman","total  -  Fantasy"
"total  -  Horror  -  Oman",32,"Oman","total  -  Horror"
"total  -  Mystery  -  Oman",52,"Oman","total  -  Mystery"
"total  -  Romance  -  Oman",58,"Oman","total  -  Romance"
"total  -  Thriller  -  Oman",79,"Oman","total  -  Thriller"
"total  -  Action  -  Pakistan",308,"Pakistan","total  -  Action"
"total  -  Adventure  -  Pakistan",100,"Pakistan","total  -  Adventure"
"total  -  Comedy  -  Pakistan",146,"Pakistan","total  -  Comedy"
"total  -  Crime  -  Pakistan",242,"Pakistan","total  -  Crime"
"total  -  Drama  -  Pakistan",393,"Pakistan","total  -  Drama"
"total  -  Horror  -  Pakistan",35,"Pakistan","total  -  Horror"
"total  -  Mystery  -  Pakistan",97,"Pakistan","total  -  Mystery"
"total  -  Romance  -  Pakistan",63,"Pakistan","total  -  Romance"
"total  -  Sci Fi  -  Pakistan",45,"Pakistan","total  -  Sci Fi"
"total  -  Thriller  -  Pakistan",97,"Pakistan","total  -  Thriller"
"total  -  Action  -  Panama",152,"Panama","total  -  Action"
"total  -  Adventure  -  Panama",105,"Panama","total  -  Adventure"
"total  -  Animation  -  Panama",58,"Panama","total  -  Animation"
"total  -  Comedy  -  Panama",184,"Panama","total  -  Comedy"
"total  -  Crime  -  Panama",122,"Panama","total  -  Crime"
"total  -  Drama  -  Panama",323,"Panama","total  -  Drama"
"total  -  Horror  -  Panama",30,"Panama","total  -  Horror"
"total  -  Mystery  -  Panama",45,"Panama","total  -  Mystery"
"total  -  Romance  -  Panama",125,"Panama","total  -  Romance"
"total  -  Thriller  -  Panama",73,"Panama","total  -  Thriller"
"total  -  Action  -  Paraguay",146,"Paraguay","total  -  Action"
"total  -  Adventure  -  Paraguay",100,"Paraguay","total  -  Adventure"
"total  -  Animation  -  Paraguay",51,"Paraguay","total  -  Animation"
"total  -  Comedy  -  Paraguay",191,"Paraguay","total  -  Comedy"
"total  -  Crime  -  Paraguay",114,"Paraguay","total  -  Crime"
"total  -  Drama  -  Paraguay",333,"Paraguay","total  -  Drama"
"total  -  Music  -  Paraguay",31,"Paraguay","total  -  Music"
"total  -  Mystery  -  Paraguay",54,"Paraguay","total  -  Mystery"
"total  -  Romance  -  Paraguay",126,"Paraguay","total  -  Romance"
"total  -  Thriller  -  Paraguay",74,"Paraguay","total  -  Thriller"
"total  -  Action  -  Peru",163,"Peru","total  -  Action"
"total  -  Adventure  -  Peru",115,"Peru","total  -  Adventure"
"total  -  Animation  -  Peru",61,"Peru","total  -  Animation"
"total  -  Comedy  -  Peru",179,"Peru","total  -  Comedy"
"total  -  Crime  -  Peru",107,"Peru","total  -  Crime"
"total  -  Drama  -  Peru",301,"Peru","total  -  Drama"
"total  -  Fantasy  -  Peru",31,"Peru","total  -  Fantasy"
"total  -  Mystery  -  Peru",46,"Peru","total  -  Mystery"
"total  -  Romance  -  Peru",113,"Peru","total  -  Romance"
"total  -  Thriller  -  Peru",65,"Peru","total  -  Thriller"
"total  -  Action  -  Philippines",219,"Philippines","total  -  Action"
"total  -  Adventure  -  Philippines",99,"Philippines","total  -  Adventure"
"total  -  Comedy  -  Philippines",144,"Philippines","total  -  Comedy"
"total  -  Crime  -  Philippines",118,"Philippines","total  -  Crime"
"total  -  Drama  -  Philippines",337,"Philippines","total  -  Drama"
"total  -  Horror  -  Philippines",39,"Philippines","total  -  Horror"
"total  -  Mystery  -  Philippines",66,"Philippines","total  -  Mystery"
"total  -  Romance  -  Philippines",103,"Philippines","total  -  Romance"
"total  -  Sci Fi  -  Philippines",49,"Philippines","total  -  Sci Fi"
"total  -  Thriller  -  Philippines",87,"Philippines","total  -  Thriller"
"total  -  Action  -  Poland",159,"Poland","total  -  Action"
"total  -  Adventure  -  Poland",168,"Poland","total  -  Adventure"
"total  -  Animation  -  Poland",103,"Poland","total  -  Animation"
"total  -  Comedy  -  Poland",209,"Poland","total  -  Comedy"
"total  -  Crime  -  Poland",146,"Poland","total  -  Crime"
"total  -  Drama  -  Poland",309,"Poland","total  -  Drama"
"total  -  Fantasy  -  Poland",40,"Poland","total  -  Fantasy"
"total  -  Mystery  -  Poland",55,"Poland","total  -  Mystery"
"total  -  Romance  -  Poland",81,"Poland","total  -  Romance"
"total  -  Thriller  -  Poland",77,"Poland","total  -  Thriller"
"total  -  Action  -  Portugal",176,"Portugal","total  -  Action"
"total  -  Adventure  -  Portugal",126,"Portugal","total  -  Adventure"
"total  -  Comedy  -  Portugal",180,"Portugal","total  -  Comedy"
"total  -  Crime  -  Portugal",121,"Portugal","total  -  Crime"
"total  -  Drama  -  Portugal",340,"Portugal","total  -  Drama"
"total  -  Family  -  Portugal",43,"Portugal","total  -  Family"
"total  -  Music  -  Portugal",37,"Portugal","total  -  Music"
"total  -  Mystery  -  Portugal",41,"Portugal","total  -  Mystery"
"total  -  Romance  -  Portugal",102,"Portugal","total  -  Romance"
"total  -  Thriller  -  Portugal",63,"Portugal","total  -  Thriller"
"total  -  Action  -  Qatar",225,"Qatar","total  -  Action"
"total  -  Adventure  -  Qatar",123,"Qatar","total  -  Adventure"
"total  -  Animation  -  Qatar",31,"Qatar","total  -  Animation"
"total  -  Comedy  -  Qatar",149,"Qatar","total  -  Comedy"
"total  -  Crime  -  Qatar",144,"Qatar","total  -  Crime"
"total  -  Drama  -  Qatar",347,"Qatar","total  -  Drama"
"total  -  Fantasy  -  Qatar",42,"Qatar","total  -  Fantasy"
"total  -  Mystery  -  Qatar",57,"Qatar","total  -  Mystery"
"total  -  Romance  -  Qatar",106,"Qatar","total  -  Romance"
"total  -  Thriller  -  Qatar",78,"Qatar","total  -  Thriller"
"total  -  Action  -  Romania",193,"Romania","total  -  Action"
"total  -  Adventure  -  Romania",104,"Romania","total  -  Adventure"
"total  -  Animation  -  Romania",26,"Romania","total  -  Animation"
"total  -  Comedy  -  Romania",144,"Romania","total  -  Comedy"
"total  -  Crime  -  Romania",158,"Romania","total  -  Crime"
"total  -  Drama  -  Romania",354,"Romania","total  -  Drama"
"total  -  Fantasy  -  Romania",42,"Romania","total  -  Fantasy"
"total  -  Mystery  -  Romania",74,"Romania","total  -  Mystery"
"total  -  Romance  -  Romania",113,"Romania","total  -  Romance"
"total  -  Thriller  -  Romania",87,"Romania","total  -  Thriller"
"total  -  Action  -  Russia",274,"Russia","total  -  Action"
"total  -  Adventure  -  Russia",131,"Russia","total  -  Adventure"
"total  -  Animation  -  Russia",56,"Russia","total  -  Animation"
"total  -  Comedy  -  Russia",166,"Russia","total  -  Comedy"
"total  -  Crime  -  Russia",225,"Russia","total  -  Crime"
"total  -  Drama  -  Russia",349,"Russia","total  -  Drama"
"total  -  Fantasy  -  Russia",39,"Russia","total  -  Fantasy"
"total  -  Mystery  -  Russia",55,"Russia","total  -  Mystery"
"total  -  Romance  -  Russia",68,"Russia","total  -  Romance"
"total  -  Thriller  -  Russia",64,"Russia","total  -  Thriller"
"total  -  Action  -  Réunion",223,"Réunion","total  -  Action"
"total  -  Adventure  -  Réunion",131,"Réunion","total  -  Adventure"
"total  -  Animation  -  Réunion",60,"Réunion","total  -  Animation"
"total  -  Comedy  -  Réunion",169,"Réunion","total  -  Comedy"
"total  -  Crime  -  Réunion",124,"Réunion","total  -  Crime"
"total  -  Drama  -  Réunion",341,"Réunion","total  -  Drama"
"total  -  Fantasy  -  Réunion",52,"Réunion","total  -  Fantasy"
"total  -  Mystery  -  Réunion",47,"Réunion","total  -  Mystery"
"total  -  Romance  -  Réunion",79,"Réunion","total  -  Romance"
"total  -  Thriller  -  Réunion",65,"Réunion","total  -  Thriller"
"total  -  Action  -  Saudi Arabia",254,"Saudi Arabia","total  -  Action"
"total  -  Adventure  -  Saudi Arabia",103,"Saudi Arabia","total  -  Adventure"
"total  -  Animation  -  Saudi Arabia",42,"Saudi Arabia","total  -  Animation"
"total  -  Comedy  -  Saudi Arabia",140,"Saudi Arabia","total  -  Comedy"
"total  -  Crime  -  Saudi Arabia",171,"Saudi Arabia","total  -  Crime"
"total  -  Drama  -  Saudi Arabia",354,"Saudi Arabia","total  -  Drama"
"total  -  Horror  -  Saudi Arabia",38,"Saudi Arabia","total  -  Horror"
"total  -  Mystery  -  Saudi Arabia",54,"Saudi Arabia","total  -  Mystery"
"total  -  Romance  -  Saudi Arabia",77,"Saudi Arabia","total  -  Romance"
"total  -  Thriller  -  Saudi Arabia",92,"Saudi Arabia","total  -  Thriller"
"total  -  Action  -  Serbia",217,"Serbia","total  -  Action"
"total  -  Adventure  -  Serbia",112,"Serbia","total  -  Adventure"
"total  -  Animation  -  Serbia",38,"Serbia","total  -  Animation"
"total  -  Comedy  -  Serbia",186,"Serbia","total  -  Comedy"
"total  -  Crime  -  Serbia",166,"Serbia","total  -  Crime"
"total  -  Drama  -  Serbia",331,"Serbia","total  -  Drama"
"total  -  Fantasy  -  Serbia",30,"Serbia","total  -  Fantasy"
"total  -  Mystery  -  Serbia",51,"Serbia","total  -  Mystery"
"total  -  Romance  -  Serbia",101,"Serbia","total  -  Romance"
"total  -  Thriller  -  Serbia",75,"Serbia","total  -  Thriller"
"total  -  Action  -  Singapore",235,"Singapore","total  -  Action"
"total  -  Adventure  -  Singapore",102,"Singapore","total  -  Adventure"
"total  -  Comedy  -  Singapore",154,"Singapore","total  -  Comedy"
"total  -  Crime  -  Singapore",138,"Singapore","total  -  Crime"
"total  -  Drama  -  Singapore",333,"Singapore","total  -  Drama"
"total  -  Horror  -  Singapore",36,"Singapore","total  -  Horror"
"total  -  Mystery  -  Singapore",79,"Singapore","total  -  Mystery"
"total  -  Romance  -  Singapore",89,"Singapore","total  -  Romance"
"total  -  Sci Fi  -  Singapore",50,"Singapore","total  -  Sci Fi"
"total  -  Thriller  -  Singapore",77,"Singapore","total  -  Thriller"
"total  -  Action  -  Slovakia",203,"Slovakia","total  -  Action"
"total  -  Adventure  -  Slovakia",138,"Slovakia","total  -  Adventure"
"total  -  Animation  -  Slovakia",71,"Slovakia","total  -  Animation"
"total  -  Comedy  -  Slovakia",189,"Slovakia","total  -  Comedy"
"total  -  Crime  -  Slovakia",149,"Slovakia","total  -  Crime"
"total  -  Documentary  -  Slovakia",36,"Slovakia","total  -  Documentary"
"total  -  Drama  -  Slovakia",310,"Slovakia","total  -  Drama"
"total  -  Mystery  -  Slovakia",49,"Slovakia","total  -  Mystery"
"total  -  Romance  -  Slovakia",87,"Slovakia","total  -  Romance"
"total  -  Thriller  -  Slovakia",58,"Slovakia","total  -  Thriller"
"total  -  Action  -  Slovenia",191,"Slovenia","total  -  Action"
"total  -  Adventure  -  Slovenia",116,"Slovenia","total  -  Adventure"
"total  -  Animation  -  Slovenia",41,"Slovenia","total  -  Animation"
"total  -  Comedy  -  Slovenia",194,"Slovenia","total  -  Comedy"
"total  -  Crime  -  Slovenia",123,"Slovenia","total  -  Crime"
"total  -  Drama  -  Slovenia",274,"Slovenia","total  -  Drama"
"total  -  Fantasy  -  Slovenia",36,"Slovenia","total  -  Fantasy"
"total  -  Mystery  -  Slovenia",43,"Slovenia","total  -  Mystery"
"total  -  Romance  -  Slovenia",86,"Slovenia","total  -  Romance"
"total  -  Thriller  -  Slovenia",59,"Slovenia","total  -  Thriller"
"total  -  Action  -  South Africa",196,"South Africa","total  -  Action"
"total  -  Adventure  -  South Africa",101,"South Africa","total  -  Adventure"
"total  -  Animation  -  South Africa",47,"South Africa","total  -  Animation"
"total  -  Comedy  -  South Africa",195,"South Africa","total  -  Comedy"
"total  -  Crime  -  South Africa",118,"South Africa","total  -  Crime"
"total  -  Drama  -  South Africa",331,"South Africa","total  -  Drama"
"total  -  Mystery  -  South Africa",66,"South Africa","total  -  Mystery"
"total  -  Romance  -  South Africa",107,"South Africa","total  -  Romance"
"total  -  Sci Fi  -  South Africa",51,"South Africa","total  -  Sci Fi"
"total  -  Thriller  -  South Africa",60,"South Africa","total  -  Thriller"
"total  -  Action  -  South Korea",206,"South Korea","total  -  Action"
"total  -  Adventure  -  South Korea",74,"South Korea","total  -  Adventure"
"total  -  Comedy  -  South Korea",167,"South Korea","total  -  Comedy"
"total  -  Crime  -  South Korea",95,"South Korea","total  -  Crime"
"total  -  Drama  -  South Korea",316,"South Korea","total  -  Drama"
"total  -  Horror  -  South Korea",36,"South Korea","total  -  Horror"
"total  -  Mystery  -  South Korea",45,"South Korea","total  -  Mystery"
"total  -  Romance  -  South Korea",107,"South Korea","total  -  Romance"
"total  -  Sci Fi  -  South Korea",36,"South Korea","total  -  Sci Fi"
"total  -  Thriller  -  South Korea",74,"South Korea","total  -  Thriller"
"total  -  Action  -  Spain",182,"Spain","total  -  Action"
"total  -  Adventure  -  Spain",105,"Spain","total  -  Adventure"
"total  -  Comedy  -  Spain",166,"Spain","total  -  Comedy"
